PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr7-190	chr7	45583172	45583321	+	1	NA	Intergenic	Intergenic	-30493	NM_001281768	107	Hs.192215	NM_021116	ENSG00000164742	ADCY1	AC1|DFNB44	adenylate cyclase 1	protein-coding
chr4-66	chr4	40623839	40624034	+	1	NA	intron (NM_001098634, intron 1 of 6)	intron (NM_001098634, intron 1 of 6)	7947	NM_001098634	54502	Hs.518727	NM_019027	ENSG00000163694	RBM47	NET18	RNA binding motif protein 47	protein-coding
chr22-25	chr22	30687182	30687345	+	1	NA	TTS (NM_001204240)	TTS (NM_001204240)	-1647	NM_001037666	652968	Hs.444950	NM_001037666	ENSG00000239282	CASTOR1	GATSL3	cytosolic arginine sensor for mTORC1 subunit 1	protein-coding
chr3-1017	chr3	133175041	133175261	+	1	NA	promoter-TSS (NR_135278)	promoter-TSS (NR_135278)	-531	NR_135278	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
chr21-143	chr21	44376039	44376122	+	1	NA	Intergenic	Intergenic	-4956	NR_049889	100847013		NR_049889	ENSG00000264580	MIR5692B	-	microRNA 5692b	ncRNA
chr16-761	chr16	85751495	85751706	+	1	NA	intron (NM_206967, intron 2 of 3)	intron (NM_206967, intron 2 of 3)	23706	NR_031731	100302261		NR_031731	ENSG00000283416	MIR1910	MIRN1910|hsa-mir-1910|mir-1910	microRNA 1910	ncRNA
chr5-45	chr5	168124323	168124524	+	1	NA	intron (NM_003062, intron 27 of 35)	intron (NM_003062, intron 27 of 35)	-9509	NR_130737	101927969	Hs.661903	NR_130737		LOC101927969	-	uncharacterized LOC101927969	ncRNA
chr3-4	chr3	193720908	193721104	+	1	NA	intron (NR_033944, intron 1 of 2)	CpG	442	NR_033944	647323	Hs.652830	NR_033944	ENSG00000214146	LINC02026	-	long intergenic non-protein coding RNA 2026	ncRNA
chr22-77	chr22	41682330	41682481	+	1	NA	promoter-TSS (NM_001278651)	promoter-TSS (NM_001278651)	-150	NM_002883	5905	Hs.183800	NM_002883	ENSG00000100401	RANGAP1	Fug1|RANGAP|SD	Ran GTPase activating protein 1	protein-coding
chr10-124	chr10	102488877	102489097	+	1	NA	Intergenic	Intergenic	-6479	NM_001304569	5076	Hs.155644	NM_000278	ENSG00000075891	PAX2	FSGS7|PAPRS	paired box 2	protein-coding
chr3-245	chr3	174868882	174869031	+	1	NA	intron (NM_207015, intron 2 of 13)	intron (NM_207015, intron 2 of 13)	-35924	NR_046390	100862679	Hs.148810	NR_046390	ENSG00000230292	NAALADL2-AS3	-	NAALADL2 antisense RNA 3	ncRNA
chr9-340	chr9	139035187	139035366	+	1	NA	Intergenic	MIRc|SINE|MIR	-24545	NM_152833	90120	Hs.287411	NM_152833	ENSG00000238227	TMEM250	C9orf69	transmembrane protein 250	protein-coding
chr11-14	chr11	77705730	77705948	+	1	NA	promoter-TSS (NM_033547)	promoter-TSS (NM_033547)	-122	NM_033547	92105	Hs.533723	NM_033547	ENSG00000149262	INTS4	INT4|MST093	integrator complex subunit 4	protein-coding
chr2-572	chr2	56886643	56886681	+	1	NA	Intergenic	AluSx|SINE|Alu	-473757	NR_125368	100129434	Hs.580330	NR_125368		LOC100129434	-	uncharacterized LOC100129434	ncRNA
chr6-17	chr6	28317638	28317827	+	1	NA	promoter-TSS (NM_001242894)	promoter-TSS (NM_001242894)	41	NM_001242894	80317	Hs.380930	NM_024493	ENSG00000189298	ZKSCAN3	ZF47|ZFP306|ZNF306|ZNF309|ZSCAN13|ZSCAN35|Zfp47|dJ874C20.1|dJ874C20.1.|zfp-47	zinc finger with KRAB and SCAN domains 3	protein-coding
chr14-127	chr14	103851417	103851546	+	1	NA	promoter-TSS (NM_001128919)	promoter-TSS (NM_001128919)	-220	NM_001128918	4140	Hs.35828	NM_002376	ENSG00000075413	MARK3	CTAK1|KP78|PAR1A|Par-1a	microtubule affinity regulating kinase 3	protein-coding
chr17-275	chr17	76370328	76370517	+	1	NA	TTS (NR_110847)	TTS (NR_110847)	-4277	NR_110602	9489	Hs.654671	NM_024419	ENSG00000087157	PGS1	-	phosphatidylglycerophosphate synthase 1	protein-coding
chr16-107	chr16	75163761	75163959	+	1	NA	Intergenic	MER50|LTR|ERV1	-13190	NM_194436	197257	Hs.380929	NM_153486	ENSG00000166816	LDHD	DLD	lactate dehydrogenase D	protein-coding
chr4-32	chr4	38464290	38464444	+	1	NA	intron (NR_110951, intron 2 of 7)	intron (NR_110951, intron 2 of 7)	-47021	NR_149076	106144599	Hs.582017	NR_149076	ENSG00000249667	LINC01259	TCONS_00007515	long intergenic non-protein coding RNA 1259	ncRNA
chr1-884	chr1	116961137	116961164	+	1	NA	promoter-TSS (NR_027646)	promoter-TSS (NR_027646)	31	NR_024126	84852	Hs.664752	NM_032766	ENSG00000203865	ATP1A1-AS1	ATP1A1OS|C1orf203	ATP1A1 antisense RNA 1	ncRNA
chr12-103	chr12	116828275	116828438	+	1	NA	Intergenic	MIRb|SINE|MIR	37767	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
chr8-134	chr8	96003415	96003633	+	1	NA	intron (NM_001354524, intron 3 of 11)	intron (NM_001354524, intron 3 of 11)	-33679	NR_148911	137682	Hs.435500	NM_152416	ENSG00000156170	NDUFAF6	C8orf38	NADH:ubiquinone oxidoreductase complex assembly factor 6	protein-coding
chr12-417	chr12	50036398	50036517	+	1	NA	exon (NM_012272, exon 20 of 25)	exon (NM_012272, exon 20 of 25)	19054	NM_012272	25766	Hs.706827	NM_012272	ENSG00000110844	PRPF40B	HYPC	pre-mRNA processing factor 40 homolog B	protein-coding
chr20-1697	chr20	3776626	3776708	+	1	NA	5' UTR (NM_021872, exon 1 of 15)	5' UTR (NM_021872, exon 1 of 15)	281	NM_021872	994	Hs.153752	NM_004358	ENSG00000101224	CDC25B	-	cell division cycle 25B	protein-coding
chr6-52	chr6	10419253	10419444	+	1	NA	intron (NM_001042425, intron 1 of 6)	intron (NM_001042425, intron 1 of 6)	449	NM_001042425	7020	Hs.519880	NM_003220	ENSG00000137203	TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2	transcription factor AP-2 alpha	protein-coding
chr15-238	chr15	67095637	67095836	+	1	NA	Intergenic	Intergenic	101062	NR_027654	4091	Hs.153863	NM_005585	ENSG00000137834	SMAD6	AOVD2|HsT17432|MADH6|MADH7	SMAD family member 6	protein-coding
chr13-7	chr13	22245072	22245281	+	1	NA	promoter-TSS (NM_002010)	promoter-TSS (NM_002010)	-39	NM_002010	2254	Hs.111	NM_002010	ENSG00000102678	FGF9	FGF-9|GAF|HBFG-9|HBGF-9|SYNS3	fibroblast growth factor 9	protein-coding
chr2-48	chr2	129063918	129064110	+	1	NA	intron (NM_004807, intron 1 of 1)	intron (NM_004807, intron 1 of 1)	12157	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr22-21	chr22	29219033	29219150	+	1	NA	Intergenic	Intergenic	-22531	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
chr15-176	chr15	77819695	77819847	+	1	NA	intron (NR_135692, intron 1 of 1)	intron (NR_135692, intron 1 of 1)	1834	NR_135692	101929457	Hs.637111	NR_135692	ENSG00000259362	LOC101929457	-	uncharacterized LOC101929457	ncRNA
chr7-390	chr7	953807	953996	+	1	NA	intron (NM_006869, intron 4 of 10)	intron (NM_006869, intron 4 of 10)	6625	NM_001284311	11033	Hs.602573	NM_006869	ENSG00000105963	ADAP1	CENTA1|GCS1L|p42IP4	ArfGAP with dual PH domains 1	protein-coding
chr1-628	chr1	236095490	236095703	+	1	NA	Intergenic	Intergenic	-48588	NM_001301365	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding
chr7-456	chr7	36087808	36088013	+	1	NA	Intergenic	Intergenic	-47010	NR_108089	101928618	Hs.561704	NR_108089	ENSG00000261184	LOC101928618	-	uncharacterized LOC101928618	ncRNA
chr3-349	chr3	122252972	122253132	+	1	NA	3' UTR (NM_001146106, exon 10 of 10)	3' UTR (NM_001146106, exon 10 of 10)	-19266	NR_026698	3836	Hs.161008	NM_002264	ENSG00000114030	KPNA1	IPOA5|NPI-1|RCH2|SRP1	karyopherin subunit alpha 1	protein-coding
chr15-52	chr15	69886790	69887008	+	1	NA	intron (NR_126438, intron 1 of 3)	intron (NR_126438, intron 1 of 3)	2360	NR_126437	104472713	Hs.430824	NR_126437	ENSG00000245750	PCAT29	-	prostate cancer associated transcript 29 (non-protein coding)	ncRNA
chr2-812	chr2	233476225	233476420	+	1	NA	intron (NM_001243252, intron 1 of 3)	intron (NM_001243252, intron 1 of 3)	5555	NM_001243252	80303	Hs.516769	NM_025202	ENSG00000115468	EFHD1	MST133|MSTP133|PP3051|SWS2	EF-hand domain family member D1	protein-coding
chr5-237	chr5	162932531	162932676	+	1	NA	promoter-TSS (NM_013283)	promoter-TSS (NM_013283)	69	NM_013283	27430	Hs.54642	NM_013283	ENSG00000038274	MAT2B	MAT-II|MATIIbeta|Nbla02999|SDR23E1|TGR	methionine adenosyltransferase 2B	protein-coding
chr18-20	chr18	9849677	9849859	+	1	NA	intron (NM_006868, intron 6 of 6)	L2a|LINE|L2	-35955	NM_032243	84203	Hs.98712	NM_032243	ENSG00000168454	TXNDC2	SPTRX|SPTRX1	thioredoxin domain containing 2	protein-coding
chr14-268	chr14	79809400	79809582	+	1	NA	intron (NM_001105250, intron 1 of 6)	LTR8|LTR|ERV1	63809	NR_073546	9369	Hs.368307	NM_004796	ENSG00000021645	NRXN3	C14orf60	neurexin 3	protein-coding
chr3-285	chr3	48956266	48956364	+	1	NA	promoter-TSS (NM_001349224)	promoter-TSS (NM_001349224)	62	NM_001349210	10425	Hs.633601	NM_006321	ENSG00000177479	ARIH2	ARI2|TRIAD1	ariadne RBR E3 ubiquitin protein ligase 2	protein-coding
chr7-50	chr7	150744185	150744397	+	1	NA	3' UTR (NM_001282293, exon 15 of 15)	3' UTR (NM_001282293, exon 15 of 15)	-1088	NM_004769	9311	Hs.647113	NM_004769	ENSG00000213199	ASIC3	ACCN3|DRASIC|SLNAC1|TNaC1	acid sensing ion channel subunit 3	protein-coding
chr11-242	chr11	84741177	84741375	+	1	NA	intron (NM_001351274, intron 5 of 26)	intron (NM_001351274, intron 5 of 26)	-106811	NM_001364	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
chr6-36	chr6	26189208	26189428	+	1	NA	promoter-TSS (NM_003539)	promoter-TSS (NM_003539)	-14	NM_003539	8360	Hs.248179	NM_003539	ENSG00000277157	HIST1H4D	H4/b|H4FB|dJ221C16.9	histone cluster 1 H4 family member d	protein-coding
chr20-23	chr20	24727098	24727306	+	1	NA	Intergenic	Intergenic	-202664	NM_003650	8530	Hs.143212	NM_003650	ENSG00000077984	CST7	CMAP	cystatin F	protein-coding
chr20-769	chr20	48655319	48655505	+	1	NA	Intergenic	Intergenic	2754	NR_051976	100887755	Hs.195705	NR_051976		TRERNA1	LINC00651|treRNA	translation regulatory long non-coding RNA 1	ncRNA
chr1-107	chr1	1310523	1310734	+	1	NA	promoter-TSS (NM_001127230)	promoter-TSS (NM_001127230)	-48	NM_001127229	54998	Hs.632515	NM_017900	ENSG00000175756	AURKAIP1	AIP|AKIP|MRP-S38	aurora kinase A interacting protein 1	protein-coding
chr17-679	chr17	49230790	49230911	+	1	NA	promoter-TSS (NM_198175)	promoter-TSS (NM_198175)	-47	NM_001018136	654364	Hs.463456	NM_001018136	ENSG00000011052	NME1-NME2	NM23-LV|NMELV	NME1-NME2 readthrough	protein-coding
chr20-1776	chr20	39788824	39788968	+	1	NA	intron (NM_182811, intron 4 of 31)	intron (NM_182811, intron 4 of 31)	-8767	NR_106931	102466912		NR_106931	ENSG00000276169	MIR6871	hsa-mir-6871	microRNA 6871	ncRNA
chr19-248	chr19	49314193	49314407	+	1	NA	promoter-TSS (NM_001190)	promoter-TSS (NM_001190)	20	NM_001190	587	Hs.512670	NM_001190	ENSG00000105552	BCAT2	BCAM|BCATM|BCT2|PP18	branched chain amino acid transaminase 2	protein-coding
chr1-544	chr1	155532756	155532915	+	1	NA	promoter-TSS (NM_018489)	promoter-TSS (NM_018489)	-511	NM_018489	55870	Hs.491060	NM_018489	ENSG00000116539	ASH1L	ASH1|ASH1L1|KMT2H|MRD52	ASH1 like histone lysine methyltransferase	protein-coding
chr8-184	chr8	69766749	69766933	+	1	NA	Intergenic	Intergenic	249584	NR_039986	100505718	Hs.122386	NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
chr16-68	chr16	74764351	74764564	+	1	NA	intron (NM_024306, intron 2 of 6)	intron (NM_024306, intron 2 of 6)	-29411	NM_001142497	197259	Hs.119878	NM_152649	ENSG00000168404	MLKL	hMLKL	mixed lineage kinase domain like pseudokinase	protein-coding
chr20-9	chr20	43343375	43343551	+	1	NA	promoter-TSS (NM_003881)	promoter-TSS (NM_003881)	-22	NM_001323370	8839	Hs.592145	NM_003881	ENSG00000064205	WISP2	CCN5|CT58|CTGF-L	WNT1 inducible signaling pathway protein 2	protein-coding
chr15-121	chr15	85259325	85259545	+	1	NA	non-coding (NR_073518, exon 1 of 7)	non-coding (NR_073518, exon 1 of 7)	256	NM_001271918	23478	Hs.9534	NM_014300	ENSG00000140612	SEC11A	1810012E07Rik|SEC11L1|SPC18|SPCS4A|sid2895	SEC11 homolog A, signal peptidase complex subunit	protein-coding
chr19-422	chr19	50321401	50321457	+	1	NA	promoter-TSS (NM_030973)	promoter-TSS (NM_030973)	-107	NM_030973	81857	Hs.656639	NM_030973	ENSG00000104973	MED25	ACID1|ARC92|BVSYS|CMT2B2|P78|PTOV2|TCBAP0758	mediator complex subunit 25	protein-coding
chr12-279	chr12	57482426	57482527	+	1	NA	promoter-TSS (NM_001330305)	promoter-TSS (NM_001330305)	-201	NM_005967	4665	Hs.159223	NM_005967	ENSG00000166886	NAB2	MADER	NGFI-A binding protein 2	protein-coding
chr1-383	chr1	1695784	1695833	+	1	NA	intron (NM_001198993, intron 2 of 11)	intron (NM_001198993, intron 2 of 11)	-5727	NM_001198995	65220	Hs.654792	NM_023018	ENSG00000008130	NADK	dJ283E3.1	NAD kinase	protein-coding
chr17-1304	chr17	5787818	5788000	+	1	NA	intron (NR_040000, intron 2 of 3)	intron (NR_040000, intron 2 of 3)	112355	NR_040000	339166	Hs.736088	NR_040000	ENSG00000284837	LOC339166	-	uncharacterized LOC339166	ncRNA
chr11-424	chr11	114030866	114031064	+	1	NA	intron (NM_001354752, intron 2 of 4)	intron (NM_001354752, intron 2 of 4)	97032	NM_001354752	7704	Hs.591945	NM_006006	ENSG00000109906	ZBTB16	PLZF|ZNF145	zinc finger and BTB domain containing 16	protein-coding
chr19-45	chr19	10859876	10859996	+	1	NA	intron (NM_001005360, intron 1 of 20)	intron (NM_001005360, intron 1 of 20)	30856	NR_030368	693223		NR_030368	ENSG00000207972	MIR638	MIRN638|hsa-mir-638	microRNA 638	ncRNA
chr21-122	chr21	40286680	40286786	+	1	NA	intron (NR_120405, intron 2 of 3)	MIRc|SINE|MIR	23620	NR_120405	400867	Hs.689509	NR_120405		LOC400867	-	uncharacterized LOC400867	ncRNA
chr1-712	chr1	28240984	28241116	+	1	NA	5' UTR (NM_001286076, exon 1 of 9)	5' UTR (NM_001286076, exon 1 of 9)	258	NM_001355129	6118	Hs.79411	NM_002946	ENSG00000117748	RPA2	REPA2|RP-A p32|RP-A p34|RPA32	replication protein A2	protein-coding
chr20-1084	chr20	21748647	21748667	+	1	NA	Intergenic	Intergenic	62360	NM_006192	5075	Hs.122310	NM_006192	ENSG00000125813	PAX1	HUP48|OFC2	paired box 1	protein-coding
JH636053.3-1	JH636053.3	795252	795470	+	1	NA	NA	NA	NA	NA								
chr4-115	chr4	83446840	83447028	+	1	NA	intron (NM_001353454, intron 1 of 7)	intron (NM_001353454, intron 1 of 7)	36238	NM_001080506	441027	Hs.507676	NM_001080506	ENSG00000249242	TMEM150C	TTN3	transmembrane protein 150C	protein-coding
chr17-370	chr17	27230122	27230320	+	1	NA	promoter-TSS (NM_144683)	promoter-TSS (NM_144683)	-132	NM_144683	147015	Hs.631760	NM_144683	ENSG00000167536	DHRS13	SDR7C5	dehydrogenase/reductase 13	protein-coding
chr11-1	chr11	67981248	67981448	+	1	NA	promoter-TSS (NM_001300908)	promoter-TSS (NM_001300908)	-109	NM_001300909	51111	Hs.632120	NM_016028	ENSG00000110066	KMT5B	CGI-85|CGI85|MRD51|SUV420H1	lysine methyltransferase 5B	protein-coding
chr11-105	chr11	66845880	66846018	+	1	NA	Intergenic	Intergenic	21660	NM_001300886	29984	Hs.15114	NM_014578	ENSG00000173156	RHOD	ARHD|RHOHP1|RHOM|Rho	ras homolog family member D	protein-coding
chr1-171	chr1	151445953	151446133	+	1	NA	Intergenic	CpG	-14102	NM_001194938	23126	Hs.489873	NM_015100	ENSG00000143442	POGZ	MRD37|WHSUS|ZNF280E|ZNF635|ZNF635m	pogo transposable element derived with ZNF domain	protein-coding
chrX-151	chrX	130627190	130627294	+	1	NA	Intergenic	Intergenic	-50806	NM_001004486	347468	Hs.553711	NM_001004486	ENSG00000171054	OR13H1	ORX1	olfactory receptor family 13 subfamily H member 1	protein-coding
chr2-82	chr2	74685129	74685349	+	1	NA	promoter-TSS (NM_012477)	promoter-TSS (NM_012477)	-288	NM_012477	23559	Hs.516114	NM_012477	ENSG00000239779	WBP1	WBP-1	WW domain binding protein 1	protein-coding
chr9-268	chr9	108006563	108006757	+	1	NA	promoter-TSS (NM_001286730)	promoter-TSS (NM_001286730)	-226	NM_001330731	23446	Hs.573495	NM_022109	ENSG00000070214	SLC44A1	CD92|CDW92|CHTL1|CTL1	solute carrier family 44 member 1	protein-coding
chr6-122	chr6	35265477	35265662	+	1	NA	promoter-TSS (NM_022047)	promoter-TSS (NM_022047)	-26	NM_022047	50619	Hs.15476	NM_022047	ENSG00000023892	DEF6	IBP|SLAT|SWAP70L	DEF6, guanine nucleotide exchange factor	protein-coding
chr16-601	chr16	22448340	22448454	+	1	NA	promoter-TSS (NR_027154)	promoter-TSS (NR_027154)	68	NR_027154	641298	Hs.552700	NM_199284	ENSG00000237296	SMG1P1	-	SMG1 pseudogene 1	pseudo
chr12-80	chr12	46662836	46663024	+	1	NA	5' UTR (NM_030674, exon 1 of 17)	5' UTR (NM_030674, exon 1 of 17)	278	NM_001278387	81539	Hs.533770	NM_030674	ENSG00000111371	SLC38A1	ATA1|NAT2|SAT1|SNAT1	solute carrier family 38 member 1	protein-coding
chr15-23	chr15	63124527	63124690	+	1	NA	intron (NM_015059, intron 51 of 55)	intron (NM_015059, intron 51 of 55)	8452	NR_029709	406965		NR_029709	ENSG00000211137	MIR190A	MIR190|MIRN190|hsa-mir-190a|miR-190|mir-190a	microRNA 190a	ncRNA
chr15-184	chr15	90380489	90380640	+	1	NA	intron (NM_005829, intron 5 of 5)	intron (NM_005829, intron 5 of 5)	13389	NR_049817	100847059		NR_049817	ENSG00000264966	MIR5094	-	microRNA 5094	ncRNA
chr12-265	chr12	51632732	51632906	+	1	NA	intron (NM_001136267, intron 1 of 3)	CpG	311	NM_001136267	9802	Hs.369761	NM_014764	ENSG00000183283	DAZAP2	PRTB	DAZ associated protein 2	protein-coding
chr21-51	chr21	46348004	46348197	+	1	NA	non-coding (NR_038311, exon 5 of 5)	non-coding (NR_038311, exon 5 of 5)	688	NM_001127491	3689	Hs.375957	NM_000211	ENSG00000160255	ITGB2	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	integrin subunit beta 2	protein-coding
chr16-464	chr16	84509251	84509440	+	1	NA	TTS (NM_020947)	TTS (NM_020947)	-8378	NR_146503	105371374	Hs.610979	NR_146503	ENSG00000261286	ATP2C2-AS1	-	ATP2C2 antisense RNA 1	ncRNA
chr9-65	chr9	136371727	136371947	+	1	NA	Intergenic	Intergenic	18231	NM_001080483	389827	Hs.512467	NM_001080483	ENSG00000187616	MYMK	MYOMAKER|TMEM226|TMEM8C	myomaker, myoblast fusion factor	protein-coding
chr3-654	chr3	5019292	5019444	+	1	NA	intron (NR_125915, intron 1 of 3)	intron (NR_125915, intron 1 of 3)	-1729	NM_003670	8553	Hs.744856	NM_003670	ENSG00000134107	BHLHE40	BHLHB2|Clast5|DEC1|HLHB2|SHARP-2|SHARP2|STRA13|Stra14	basic helix-loop-helix family member e40	protein-coding
chr2-9	chr2	47403671	47403818	+	1	NA	promoter-TSS (NM_001305624)	promoter-TSS (NM_001305624)	18	NM_001305624	805	Hs.468442	NM_001743	ENSG00000143933	CALM2	CAMII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
chr8-101	chr8	102450745	102450926	+	1	NA	Intergenic	Intergenic	-53832	NM_001330593	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|TFCP2L3	grainyhead like transcription factor 2	protein-coding
chr2-20	chr2	100253181	100253369	+	1	NA	intron (NM_001025108, intron 12 of 23)	intron (NM_001025108, intron 12 of 23)	-146757	NR_135650	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1, DNA directed polymerase	protein-coding
chr16-766	chr16	86425141	86425361	+	1	NA	Intergenic	Intergenic	-45966	NR_024406	732275	Hs.558087	NR_024406	ENSG00000168367	LINC00917	-	long intergenic non-protein coding RNA 917	ncRNA
chr20-164	chr20	48854031	48854216	+	1	NA	Intergenic	Intergenic	-29900	NM_001278655	100506115	Hs.235484	NM_001278655		SMIM25	LINC01272	small integral membrane protein 25	protein-coding
chr13-79	chr13	21476760	21476964	+	1	NA	promoter-TSS (NM_022459)	promoter-TSS (NM_022459)	51	NM_022459	64328	Hs.507452	NM_022459	ENSG00000132953	XPO4	exp4	exportin 4	protein-coding
chr16-753	chr16	85369057	85369277	+	1	NA	Intergenic	Intergenic	-29236	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr3-181	chr3	197099488	197099513	+	1	NA	Intergenic	Intergenic	-73357	NM_001290983	1739	Hs.292549	NM_004087	ENSG00000075711	DLG1	DLGH1|SAP-97|SAP97|dJ1061C18.1.1|hdlg	discs large MAGUK scaffold protein 1	protein-coding
chr3-33	chr3	13579437	13579657	+	1	NA	Intergenic	Intergenic	-11078	NM_001998	2199	Hs.198862	NM_001998	ENSG00000163520	FBLN2	-	fibulin 2	protein-coding
chr12-24	chr12	55285991	55286122	+	1	NA	Intergenic	Intergenic	37757	NM_058173	118430	Hs.348419	NM_058173	ENSG00000172551	MUCL1	SBEM	mucin like 1	protein-coding
chr22-12	chr22	38003021	38003224	+	1	NA	Intergenic	MIR3|SINE|MIR	-1359	NM_013365	26088	Hs.499158	NM_013365	ENSG00000100083	GGA1	-	golgi associated, gamma adaptin ear containing, ARF binding protein 1	protein-coding
chr20-288	chr20	56270141	56270361	+	1	NA	intron (NM_199171, intron 1 of 3)	intron (NM_199171, intron 1 of 3)	-4571	NM_001255976	56937	Hs.517155	NM_020182	ENSG00000124225	PMEPA1	STAG1|TMEPAI	prostate transmembrane protein, androgen induced 1	protein-coding
chr9-419	chr9	91637155	91637340	+	1	NA	intron (NM_016848, intron 11 of 11)	intron (NM_016848, intron 11 of 11)	30923	NM_005226	1903	Hs.585118	NM_005226	ENSG00000213694	S1PR3	EDG-3|EDG3|LPB3|S1P3	sphingosine-1-phosphate receptor 3	protein-coding
chr11-419	chr11	111205545	111205670	+	1	NA	Intergenic	Intergenic	-12875	NR_039712	100616330		NR_039712	ENSG00000264032	MIR4491	mir-4491	microRNA 4491	ncRNA
chr3-408	chr3	10028449	10028613	+	1	NA	promoter-TSS (NR_103821)	promoter-TSS (NR_103821)	-46	NR_103821	442075	Hs.690469	NM_001013730		EMC3-AS1	-	EMC3 antisense RNA 1	ncRNA
chr3-14	chr3	9005014	9005222	+	1	NA	promoter-TSS (NM_020165)	promoter-TSS (NM_020165)	41	NM_020165	56852	Hs.375684	NM_020165	ENSG00000070950	RAD18	RNF73	RAD18, E3 ubiquitin protein ligase	protein-coding
chr17-375	chr17	48982033	48982141	+	1	NA	Intergenic	Intergenic	-36748	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr17-1399	chr17	49029551	49029660	+	1	NA	Intergenic	Intergenic	-84266	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr20-1329	chr20	61027888	61027903	+	1	NA	Intergenic	Intergenic	23131	NM_080473	140628	Hs.352250	NM_080473	ENSG00000130700	GATA5	CHTD5|GATAS|bB379O24.1	GATA binding protein 5	protein-coding
chr7-63	chr7	99006177	99006379	+	1	NA	promoter-TSS (NM_003910)	promoter-TSS (NM_003910)	27	NM_014891	11333	Hs.632296	NM_014891	ENSG00000106244	PDAP1	HASPP28|PAP|PAP1	PDGFA associated protein 1	protein-coding
chr12-147	chr12	124196738	124196901	+	1	NA	promoter-TSS (NM_012463)	promoter-TSS (NM_012463)	-46	NM_012463	23545	Hs.25786	NM_012463	ENSG00000185344	ATP6V0A2	A2|ARCL|ARCL2A|ATP6A2|ATP6N1D|J6B7|RTF|STV1|TJ6|TJ6M|TJ6S|VPH1|WSS	ATPase H+ transporting V0 subunit a2	protein-coding
chr17-356	chr17	60241287	60241486	+	1	NA	Intergenic	Intergenic	-98743	NM_005121	9969	Hs.282678	NM_005121	ENSG00000108510	MED13	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	mediator complex subunit 13	protein-coding
chr7-51	chr7	152161507	152161651	+	1	NA	non-coding (NR_027387, exon 1 of 1)	non-coding (NR_027387, exon 1 of 1)	370	NR_027387	100128822	Hs.647112	NR_027387	ENSG00000261455	LINC01003	-	long intergenic non-protein coding RNA 1003	ncRNA
chr15-44	chr15	33360967	33361140	+	1	NA	promoter-TSS (NM_001103184)	promoter-TSS (NM_001103184)	-820	NM_001103184	342184	Hs.657649	NM_198500	ENSG00000248905	FMN1	FMN|LD	formin 1	protein-coding
chr18-18	chr18	46517327	46517530	+	1	NA	Intergenic	Intergenic	-32645	NR_148999	100129878	Hs.437704	NR_148999	ENSG00000264269	LOC100129878	-	uncharacterized LOC100129878	ncRNA
chr18-1	chr18	499521	499689	+	1	NA	intron (NM_130386, intron 1 of 9)	CpG	1124	NM_130386	81035	Hs.464422	NM_030781	ENSG00000158270	COLEC12	CLP1|NSR2|SCARA4|SRCL	collectin subfamily member 12	protein-coding
chr12-189	chr12	75265799	75265827	+	1	NA	Intergenic	Intergenic	334262	NM_001136262	552889	Hs.744849	NM_001136262	ENSG00000253719	ATXN7L3B	lnc-SCA7	ataxin 7 like 3B	protein-coding
chr17-276	chr17	77916425	77916629	+	1	NA	intron (NM_001271844, intron 6 of 7)	intron (NM_001271844, intron 6 of 7)	8129	NM_001271844	125058	Hs.369819	NM_019020	ENSG00000167291	TBC1D16	-	TBC1 domain family member 16	protein-coding
